symbol,interval,timestamp_utc,open,high,low,close,volume
BSVUSDT,5,2025-08-20 13:05:00,26.04,26.05,26.0,26.0,4.35
BSVUSDT,5,2025-08-20 13:10:00,26.0,26.0,25.91,25.91,121.17
BSVUSDT,5,2025-08-20 13:15:00,25.91,25.94,25.88,25.92,68.45
BSVUSDT,5,2025-08-20 13:20:00,25.92,25.94,25.91,25.93,67.0
BSVUSDT,5,2025-08-20 13:25:00,25.93,25.98,25.92,25.98,25.67
BSVUSDT,5,2025-08-20 13:30:00,25.98,25.98,25.85,25.9,198.37
BSVUSDT,5,2025-08-20 13:35:00,25.9,26.09,25.9,25.98,574.01
BSVUSDT,5,2025-08-20 13:40:00,25.98,26.02,25.91,25.97,70.19
BSVUSDT,5,2025-08-20 13:45:00,25.97,25.97,25.74,25.8,1200.91
BSVUSDT,5,2025-08-20 13:50:00,25.8,25.8,25.66,25.69,2112.16
BSVUSDT,5,2025-08-20 13:55:00,25.69,25.8,25.69,25.72,712.34
BSVUSDT,5,2025-08-20 14:00:00,25.72,25.83,25.72,25.75,133.99
BSVUSDT,5,2025-08-20 14:05:00,25.75,25.76,25.62,25.63,137.91
BSVUSDT,5,2025-08-20 14:10:00,25.63,25.71,25.61,25.71,114.66
BSVUSDT,5,2025-08-20 14:15:00,25.71,25.85,25.62,25.82,275.99
BSVUSDT,5,2025-08-20 14:20:00,25.82,25.9,25.77,25.89,276.0
BSVUSDT,5,2025-08-20 14:25:00,25.89,25.97,25.85,25.95,134.45
BSVUSDT,5,2025-08-20 14:30:00,25.95,26.13,25.95,26.12,856.52
BSVUSDT,5,2025-08-20 14:35:00,26.12,26.16,26.06,26.12,116.45
BSVUSDT,5,2025-08-20 14:40:00,26.12,26.14,26.09,26.12,183.26
BSVUSDT,5,2025-08-20 14:45:00,26.12,26.19,26.1,26.19,346.51
BSVUSDT,5,2025-08-20 14:50:00,26.19,26.2,26.09,26.1,1502.22
BSVUSDT,5,2025-08-20 14:55:00,26.1,26.11,26.07,26.07,147.75
BSVUSDT,5,2025-08-20 15:00:00,26.07,26.17,26.05,26.17,115.25
BSVUSDT,5,2025-08-20 15:05:00,26.17,26.35,26.17,26.27,841.88
BSVUSDT,5,2025-08-20 15:10:00,26.27,26.29,26.25,26.29,182.65
BSVUSDT,5,2025-08-20 15:15:00,26.29,26.4,26.29,26.36,766.5
BSVUSDT,5,2025-08-20 15:20:00,26.36,26.42,26.36,26.39,382.13
BSVUSDT,5,2025-08-20 15:25:00,26.39,26.41,26.36,26.39,102.83
BSVUSDT,5,2025-08-20 15:30:00,26.39,26.4,26.34,26.35,67.91
BSVUSDT,5,2025-08-20 15:35:00,26.35,26.37,26.31,26.36,43.73
BSVUSDT,5,2025-08-20 15:40:00,26.36,26.37,26.29,26.29,297.51
BSVUSDT,5,2025-08-20 15:45:00,26.29,26.3,26.17,26.17,741.57
BSVUSDT,5,2025-08-20 15:50:00,26.17,26.2,26.12,26.14,126.95
BSVUSDT,5,2025-08-20 15:55:00,26.14,26.17,26.12,26.15,569.39
BSVUSDT,5,2025-08-20 16:00:00,26.15,26.28,26.15,26.23,266.22
BSVUSDT,5,2025-08-20 16:05:00,26.23,26.27,26.21,26.21,188.4
BSVUSDT,5,2025-08-20 16:10:00,26.21,26.26,26.21,26.24,78.42
BSVUSDT,5,2025-08-20 16:15:00,26.24,26.34,26.24,26.34,89.67
BSVUSDT,5,2025-08-20 16:20:00,26.34,26.36,26.31,26.34,23.03
BSVUSDT,5,2025-08-20 16:25:00,26.34,26.38,26.33,26.38,98.77
BSVUSDT,5,2025-08-20 16:30:00,26.38,26.38,26.28,26.28,179.92
BSVUSDT,5,2025-08-20 16:35:00,26.28,26.28,26.2,26.24,69.08
BSVUSDT,5,2025-08-20 16:40:00,26.24,26.25,26.21,26.24,58.56
BSVUSDT,5,2025-08-20 16:45:00,26.24,26.27,26.22,26.22,83.19
BSVUSDT,5,2025-08-20 16:50:00,26.22,26.25,26.22,26.23,168.86
BSVUSDT,5,2025-08-20 16:55:00,26.23,26.23,26.16,26.18,11.0
BSVUSDT,5,2025-08-20 17:00:00,26.18,26.25,26.18,26.25,129.87
BSVUSDT,5,2025-08-20 17:05:00,26.25,26.28,26.23,26.27,35.51
BSVUSDT,5,2025-08-20 17:10:00,26.27,26.27,26.21,26.21,63.23
