symbol,interval,timestamp_utc,open,high,low,close,volume
ICXUSDT,5,2025-08-20 13:05:00,0.12614,0.12623,0.126,0.12601,5277.0
ICXUSDT,5,2025-08-20 13:10:00,0.12601,0.12601,0.1256,0.1256,3880.0
ICXUSDT,5,2025-08-20 13:15:00,0.1256,0.12592,0.12553,0.12582,7166.0
ICXUSDT,5,2025-08-20 13:20:00,0.12582,0.12602,0.12582,0.12584,2629.0
ICXUSDT,5,2025-08-20 13:25:00,0.12584,0.12614,0.12575,0.12613,51137.0
ICXUSDT,5,2025-08-20 13:30:00,0.12613,0.12613,0.12547,0.12573,63372.0
ICXUSDT,5,2025-08-20 13:35:00,0.12573,0.12656,0.12572,0.126,145455.0
ICXUSDT,5,2025-08-20 13:40:00,0.126,0.12621,0.12564,0.12569,23562.0
ICXUSDT,5,2025-08-20 13:45:00,0.12569,0.12569,0.12485,0.12502,165462.0
ICXUSDT,5,2025-08-20 13:50:00,0.12502,0.12502,0.12411,0.12446,117473.0
ICXUSDT,5,2025-08-20 13:55:00,0.12446,0.12495,0.12443,0.12463,119403.0
ICXUSDT,5,2025-08-20 14:00:00,0.12463,0.12494,0.12457,0.12457,74050.0
ICXUSDT,5,2025-08-20 14:05:00,0.12457,0.12457,0.12378,0.12407,141396.0
ICXUSDT,5,2025-08-20 14:10:00,0.12407,0.12407,0.12374,0.12405,22059.0
ICXUSDT,5,2025-08-20 14:15:00,0.12405,0.12464,0.1234,0.12448,32312.0
ICXUSDT,5,2025-08-20 14:20:00,0.12448,0.12518,0.12431,0.12501,46226.0
ICXUSDT,5,2025-08-20 14:25:00,0.12501,0.12539,0.12487,0.12529,36216.0
ICXUSDT,5,2025-08-20 14:30:00,0.12529,0.12633,0.12529,0.12618,73845.0
ICXUSDT,5,2025-08-20 14:35:00,0.12618,0.12663,0.12596,0.12643,43105.0
ICXUSDT,5,2025-08-20 14:40:00,0.12643,0.12657,0.12626,0.12644,15467.0
ICXUSDT,5,2025-08-20 14:45:00,0.12644,0.12691,0.12629,0.12691,31587.0
ICXUSDT,5,2025-08-20 14:50:00,0.12691,0.12713,0.12656,0.12656,27948.0
ICXUSDT,5,2025-08-20 14:55:00,0.12656,0.12664,0.12644,0.12654,6947.0
ICXUSDT,5,2025-08-20 15:00:00,0.12654,0.12723,0.1264,0.12723,202667.0
ICXUSDT,5,2025-08-20 15:05:00,0.12723,0.12802,0.12723,0.12789,30594.0
ICXUSDT,5,2025-08-20 15:10:00,0.12789,0.12789,0.12767,0.12783,11599.0
ICXUSDT,5,2025-08-20 15:15:00,0.12783,0.12833,0.12783,0.12813,53928.0
ICXUSDT,5,2025-08-20 15:20:00,0.12813,0.12841,0.12813,0.12831,5463.0
ICXUSDT,5,2025-08-20 15:25:00,0.12831,0.12831,0.12814,0.12819,3221.0
ICXUSDT,5,2025-08-20 15:30:00,0.12819,0.12838,0.12797,0.12819,48121.0
ICXUSDT,5,2025-08-20 15:35:00,0.12819,0.12827,0.12797,0.12817,6892.0
ICXUSDT,5,2025-08-20 15:40:00,0.12817,0.1284,0.12813,0.12819,63939.0
ICXUSDT,5,2025-08-20 15:45:00,0.12819,0.12819,0.12784,0.12785,10410.0
ICXUSDT,5,2025-08-20 15:50:00,0.12785,0.12785,0.1271,0.12736,6445.0
ICXUSDT,5,2025-08-20 15:55:00,0.12736,0.12746,0.12722,0.12725,28630.0
ICXUSDT,5,2025-08-20 16:00:00,0.12725,0.12808,0.12725,0.12785,23607.0
ICXUSDT,5,2025-08-20 16:05:00,0.12785,0.12789,0.12761,0.12775,5545.0
ICXUSDT,5,2025-08-20 16:10:00,0.12775,0.1279,0.1277,0.12782,10253.0
ICXUSDT,5,2025-08-20 16:15:00,0.12782,0.12836,0.12782,0.12823,14481.0
ICXUSDT,5,2025-08-20 16:20:00,0.12823,0.12832,0.12808,0.12824,22767.0
ICXUSDT,5,2025-08-20 16:25:00,0.12824,0.12848,0.12818,0.12847,5811.0
ICXUSDT,5,2025-08-20 16:30:00,0.12847,0.12849,0.12825,0.12826,3464.0
ICXUSDT,5,2025-08-20 16:35:00,0.12826,0.12826,0.12783,0.12811,17065.0
ICXUSDT,5,2025-08-20 16:40:00,0.12811,0.12811,0.1278,0.12789,27450.0
ICXUSDT,5,2025-08-20 16:45:00,0.12789,0.12816,0.12787,0.1279,5672.0
ICXUSDT,5,2025-08-20 16:50:00,0.1279,0.12795,0.12777,0.12784,3910.0
ICXUSDT,5,2025-08-20 16:55:00,0.12784,0.12784,0.12758,0.1277,27459.0
ICXUSDT,5,2025-08-20 17:00:00,0.1277,0.12817,0.12767,0.12813,50334.0
ICXUSDT,5,2025-08-20 17:05:00,0.12813,0.12819,0.12804,0.12816,6698.0
ICXUSDT,5,2025-08-20 17:10:00,0.12816,0.12828,0.12792,0.12792,6668.0
