symbol,interval,timestamp_utc,open,high,low,close,volume
KERNELUSDT,1,2025-08-20 16:26:00,0.2214,0.2214,0.2207,0.221,67451.0
KERNELUSDT,1,2025-08-20 16:27:00,0.221,0.2212,0.2208,0.2208,33537.0
KERNELUSDT,1,2025-08-20 16:28:00,0.2208,0.2227,0.2208,0.2226,54571.0
KERNELUSDT,1,2025-08-20 16:29:00,0.2226,0.2227,0.2224,0.2225,41859.0
KERNELUSDT,1,2025-08-20 16:30:00,0.2225,0.2225,0.221,0.2214,122714.0
KERNELUSDT,1,2025-08-20 16:31:00,0.2214,0.2215,0.2209,0.2212,138141.0
KERNELUSDT,1,2025-08-20 16:32:00,0.2212,0.2212,0.2208,0.221,11220.0
KERNELUSDT,1,2025-08-20 16:33:00,0.221,0.221,0.2207,0.2208,3550.0
KERNELUSDT,1,2025-08-20 16:34:00,0.2208,0.2208,0.2198,0.2208,75603.0
KERNELUSDT,1,2025-08-20 16:35:00,0.2208,0.2209,0.2201,0.2202,11242.0
KERNELUSDT,1,2025-08-20 16:36:00,0.2202,0.2202,0.2196,0.2199,30667.0
KERNELUSDT,1,2025-08-20 16:37:00,0.2199,0.2212,0.2199,0.2211,61637.0
KERNELUSDT,1,2025-08-20 16:38:00,0.2211,0.2211,0.2202,0.2206,89146.0
KERNELUSDT,1,2025-08-20 16:39:00,0.2206,0.2206,0.2202,0.2203,8346.0
KERNELUSDT,1,2025-08-20 16:40:00,0.2203,0.2203,0.2193,0.2194,37242.0
KERNELUSDT,1,2025-08-20 16:41:00,0.2194,0.2194,0.2181,0.2188,227972.0
KERNELUSDT,1,2025-08-20 16:42:00,0.2188,0.2194,0.2188,0.2194,22745.0
KERNELUSDT,1,2025-08-20 16:43:00,0.2194,0.2198,0.2191,0.2196,107879.0
KERNELUSDT,1,2025-08-20 16:44:00,0.2196,0.2198,0.2196,0.2196,10948.0
KERNELUSDT,1,2025-08-20 16:45:00,0.2196,0.2205,0.2195,0.2205,28778.0
KERNELUSDT,1,2025-08-20 16:46:00,0.2205,0.2214,0.2202,0.2214,37115.0
KERNELUSDT,1,2025-08-20 16:47:00,0.2214,0.2219,0.2209,0.2211,74389.0
KERNELUSDT,1,2025-08-20 16:48:00,0.2211,0.2212,0.2205,0.2211,58472.0
KERNELUSDT,1,2025-08-20 16:49:00,0.2211,0.2212,0.2206,0.2209,10545.0
KERNELUSDT,1,2025-08-20 16:50:00,0.2209,0.2214,0.2209,0.2211,21526.0
KERNELUSDT,1,2025-08-20 16:51:00,0.2211,0.2212,0.2208,0.221,15695.0
KERNELUSDT,1,2025-08-20 16:52:00,0.221,0.2212,0.2207,0.2209,24689.0
KERNELUSDT,1,2025-08-20 16:53:00,0.2209,0.2219,0.2209,0.2219,23103.0
KERNELUSDT,1,2025-08-20 16:54:00,0.2219,0.2223,0.2217,0.2222,52559.0
KERNELUSDT,1,2025-08-20 16:55:00,0.2222,0.2222,0.2217,0.2218,36886.0
KERNELUSDT,1,2025-08-20 16:56:00,0.2218,0.2219,0.2211,0.2212,73705.0
KERNELUSDT,1,2025-08-20 16:57:00,0.2212,0.2214,0.2208,0.221,38059.0
KERNELUSDT,1,2025-08-20 16:58:00,0.221,0.2218,0.221,0.2216,24327.0
KERNELUSDT,1,2025-08-20 16:59:00,0.2216,0.2224,0.2215,0.2223,16371.0
KERNELUSDT,1,2025-08-20 17:00:00,0.2223,0.2229,0.2211,0.2219,177067.0
KERNELUSDT,1,2025-08-20 17:01:00,0.2219,0.2224,0.2218,0.2221,52092.0
KERNELUSDT,1,2025-08-20 17:02:00,0.2221,0.2224,0.2219,0.2222,29610.0
KERNELUSDT,1,2025-08-20 17:03:00,0.2222,0.2233,0.2222,0.2226,72613.0
KERNELUSDT,1,2025-08-20 17:04:00,0.2226,0.223,0.2225,0.2226,31236.0
KERNELUSDT,1,2025-08-20 17:05:00,0.2226,0.2233,0.2225,0.2231,54369.0
KERNELUSDT,1,2025-08-20 17:06:00,0.2231,0.2235,0.2229,0.2235,51743.0
KERNELUSDT,1,2025-08-20 17:07:00,0.2235,0.2237,0.2227,0.2228,74518.0
KERNELUSDT,1,2025-08-20 17:08:00,0.2228,0.223,0.2227,0.2229,21026.0
KERNELUSDT,1,2025-08-20 17:09:00,0.2229,0.223,0.2227,0.2229,12797.0
KERNELUSDT,1,2025-08-20 17:10:00,0.2229,0.2243,0.2229,0.2243,14780.0
KERNELUSDT,1,2025-08-20 17:11:00,0.2243,0.2247,0.2241,0.2247,24440.0
KERNELUSDT,1,2025-08-20 17:12:00,0.2247,0.2259,0.2243,0.2256,193750.0
KERNELUSDT,1,2025-08-20 17:13:00,0.2256,0.2264,0.2249,0.2261,142346.0
KERNELUSDT,1,2025-08-20 17:14:00,0.2261,0.2261,0.2245,0.2249,118965.0
KERNELUSDT,1,2025-08-20 17:15:00,0.2249,0.2251,0.2243,0.2245,103991.0
