symbol,interval,timestamp_utc,open,high,low,close,volume
KUSDT,5,2025-08-20 13:05:00,0.2227,0.2231,0.2223,0.2226,33893.0
KUSDT,5,2025-08-20 13:10:00,0.2226,0.2228,0.222,0.2223,40369.0
KUSDT,5,2025-08-20 13:15:00,0.2223,0.2223,0.2212,0.2212,44151.0
KUSDT,5,2025-08-20 13:20:00,0.2212,0.2214,0.2204,0.2207,52771.0
KUSDT,5,2025-08-20 13:25:00,0.2207,0.2213,0.2203,0.221,57460.0
KUSDT,5,2025-08-20 13:30:00,0.221,0.2225,0.2205,0.2224,75647.0
KUSDT,5,2025-08-20 13:35:00,0.2224,0.2232,0.2223,0.2225,37243.0
KUSDT,5,2025-08-20 13:40:00,0.2225,0.2229,0.2223,0.2224,30463.0
KUSDT,5,2025-08-20 13:45:00,0.2224,0.223,0.2208,0.2209,198810.0
KUSDT,5,2025-08-20 13:50:00,0.2209,0.2209,0.2183,0.2186,118966.0
KUSDT,5,2025-08-20 13:55:00,0.2186,0.2191,0.2176,0.218,95157.0
KUSDT,5,2025-08-20 14:00:00,0.218,0.2209,0.218,0.2204,95367.0
KUSDT,5,2025-08-20 14:05:00,0.2204,0.2205,0.2186,0.2188,79085.0
KUSDT,5,2025-08-20 14:10:00,0.2188,0.2189,0.2177,0.2184,95101.0
KUSDT,5,2025-08-20 14:15:00,0.2184,0.2195,0.2176,0.2193,85213.0
KUSDT,5,2025-08-20 14:20:00,0.2193,0.2203,0.2191,0.2198,70210.0
KUSDT,5,2025-08-20 14:25:00,0.2198,0.2212,0.2197,0.221,29351.0
KUSDT,5,2025-08-20 14:30:00,0.221,0.2226,0.2208,0.2224,66035.0
KUSDT,5,2025-08-20 14:35:00,0.2224,0.2229,0.2222,0.2224,44217.0
KUSDT,5,2025-08-20 14:40:00,0.2224,0.2233,0.2218,0.2222,97959.0
KUSDT,5,2025-08-20 14:45:00,0.2222,0.2227,0.2208,0.2215,104086.0
KUSDT,5,2025-08-20 14:50:00,0.2215,0.2233,0.2215,0.2222,112018.0
KUSDT,5,2025-08-20 14:55:00,0.2222,0.2235,0.2218,0.2228,102329.0
KUSDT,5,2025-08-20 15:00:00,0.2228,0.226,0.2223,0.2253,148601.0
KUSDT,5,2025-08-20 15:05:00,0.2253,0.2286,0.2251,0.2262,291457.0
KUSDT,5,2025-08-20 15:10:00,0.2262,0.2265,0.2257,0.2262,100814.0
KUSDT,5,2025-08-20 15:15:00,0.2262,0.228,0.2257,0.2268,223938.0
KUSDT,5,2025-08-20 15:20:00,0.2268,0.2268,0.2251,0.2252,115641.0
KUSDT,5,2025-08-20 15:25:00,0.2252,0.2262,0.224,0.2256,117088.0
KUSDT,5,2025-08-20 15:30:00,0.2256,0.2269,0.2254,0.2265,46137.0
KUSDT,5,2025-08-20 15:35:00,0.2265,0.2277,0.2258,0.2272,97816.0
KUSDT,5,2025-08-20 15:40:00,0.2272,0.228,0.2266,0.2269,113296.0
KUSDT,5,2025-08-20 15:45:00,0.2269,0.2277,0.226,0.2262,85496.0
KUSDT,5,2025-08-20 15:50:00,0.2262,0.2264,0.2254,0.2256,30696.0
KUSDT,5,2025-08-20 15:55:00,0.2256,0.2256,0.2246,0.2255,50960.0
KUSDT,5,2025-08-20 16:00:00,0.2255,0.2265,0.2251,0.2263,91299.0
KUSDT,5,2025-08-20 16:05:00,0.2263,0.2308,0.226,0.2287,478998.0
KUSDT,5,2025-08-20 16:10:00,0.2287,0.2332,0.2282,0.2319,425548.0
KUSDT,5,2025-08-20 16:15:00,0.2319,0.2327,0.2303,0.2303,160260.0
KUSDT,5,2025-08-20 16:20:00,0.2303,0.2307,0.2284,0.2284,86362.0
KUSDT,5,2025-08-20 16:25:00,0.2284,0.2292,0.2269,0.2283,208751.0
KUSDT,5,2025-08-20 16:30:00,0.2283,0.2287,0.2247,0.2256,209789.0
KUSDT,5,2025-08-20 16:35:00,0.2256,0.2272,0.2252,0.2268,45577.0
KUSDT,5,2025-08-20 16:40:00,0.2268,0.2269,0.226,0.2262,13338.0
KUSDT,5,2025-08-20 16:45:00,0.2262,0.2264,0.226,0.2264,8082.0
KUSDT,5,2025-08-20 16:50:00,0.2264,0.2273,0.2263,0.2265,19397.0
KUSDT,5,2025-08-20 16:55:00,0.2265,0.2266,0.226,0.2263,36908.0
KUSDT,5,2025-08-20 17:00:00,0.2263,0.2283,0.2263,0.2279,31263.0
KUSDT,5,2025-08-20 17:05:00,0.2279,0.228,0.2274,0.2279,15637.0
KUSDT,5,2025-08-20 17:10:00,0.2279,0.2284,0.2278,0.2281,25464.0
