symbol,interval,timestamp_utc,open,high,low,close,volume
MAVUSDT,5,2025-08-20 13:05:00,0.05585,0.05585,0.05568,0.0557,160769.0
MAVUSDT,5,2025-08-20 13:10:00,0.0557,0.0557,0.05526,0.05542,1455636.0
MAVUSDT,5,2025-08-20 13:15:00,0.05542,0.05558,0.0553,0.05545,316159.0
MAVUSDT,5,2025-08-20 13:20:00,0.05545,0.05568,0.05544,0.05555,194399.0
MAVUSDT,5,2025-08-20 13:25:00,0.05555,0.05573,0.05549,0.05573,388544.0
MAVUSDT,5,2025-08-20 13:30:00,0.05573,0.05573,0.05531,0.05533,1029622.0
MAVUSDT,5,2025-08-20 13:35:00,0.05533,0.05601,0.05532,0.0556,1355966.0
MAVUSDT,5,2025-08-20 13:40:00,0.0556,0.05585,0.05541,0.05548,643960.0
MAVUSDT,5,2025-08-20 13:45:00,0.05548,0.05553,0.05506,0.05527,1523744.0
MAVUSDT,5,2025-08-20 13:50:00,0.05527,0.05528,0.05495,0.05512,972887.0
MAVUSDT,5,2025-08-20 13:55:00,0.05512,0.0554,0.05505,0.05511,1170364.0
MAVUSDT,5,2025-08-20 14:00:00,0.05511,0.05534,0.05503,0.05504,355325.0
MAVUSDT,5,2025-08-20 14:05:00,0.05504,0.05507,0.05469,0.05476,880868.0
MAVUSDT,5,2025-08-20 14:10:00,0.05476,0.05484,0.05457,0.05475,893301.0
MAVUSDT,5,2025-08-20 14:15:00,0.05475,0.05533,0.05447,0.05521,985052.0
MAVUSDT,5,2025-08-20 14:20:00,0.05521,0.05552,0.05513,0.0554,575243.0
MAVUSDT,5,2025-08-20 14:25:00,0.0554,0.0554,0.05513,0.05535,532837.0
MAVUSDT,5,2025-08-20 14:30:00,0.05535,0.05614,0.05535,0.05614,1523124.0
MAVUSDT,5,2025-08-20 14:35:00,0.05614,0.05621,0.05587,0.05609,1013953.0
MAVUSDT,5,2025-08-20 14:40:00,0.05609,0.05624,0.0559,0.0561,437575.0
MAVUSDT,5,2025-08-20 14:45:00,0.0561,0.05636,0.05587,0.05633,591771.0
MAVUSDT,5,2025-08-20 14:50:00,0.05633,0.0564,0.05604,0.05616,411044.0
MAVUSDT,5,2025-08-20 14:55:00,0.05616,0.05621,0.05602,0.05621,238566.0
MAVUSDT,5,2025-08-20 15:00:00,0.05621,0.05629,0.05608,0.05618,258952.0
MAVUSDT,5,2025-08-20 15:05:00,0.05618,0.05717,0.05618,0.05686,1155177.0
MAVUSDT,5,2025-08-20 15:10:00,0.05686,0.05686,0.05662,0.05668,362197.0
MAVUSDT,5,2025-08-20 15:15:00,0.05668,0.0571,0.05665,0.05689,607762.0
MAVUSDT,5,2025-08-20 15:20:00,0.05689,0.05713,0.05688,0.057,192693.0
MAVUSDT,5,2025-08-20 15:25:00,0.057,0.05702,0.05681,0.05693,229732.0
MAVUSDT,5,2025-08-20 15:30:00,0.05693,0.05693,0.05665,0.05667,594928.0
MAVUSDT,5,2025-08-20 15:35:00,0.05667,0.05687,0.05665,0.05682,100979.0
MAVUSDT,5,2025-08-20 15:40:00,0.05682,0.05695,0.05681,0.05681,76160.0
MAVUSDT,5,2025-08-20 15:45:00,0.05681,0.05682,0.05632,0.05647,654315.0
MAVUSDT,5,2025-08-20 15:50:00,0.05647,0.05662,0.05619,0.05627,318525.0
MAVUSDT,5,2025-08-20 15:55:00,0.05627,0.05637,0.05616,0.0562,138158.0
MAVUSDT,5,2025-08-20 16:00:00,0.0562,0.05648,0.05605,0.05637,305626.0
MAVUSDT,5,2025-08-20 16:05:00,0.05637,0.05647,0.05621,0.0563,347064.0
MAVUSDT,5,2025-08-20 16:10:00,0.0563,0.05646,0.05623,0.05633,204025.0
MAVUSDT,5,2025-08-20 16:15:00,0.05633,0.05685,0.05632,0.05685,822249.0
MAVUSDT,5,2025-08-20 16:20:00,0.05685,0.05694,0.05666,0.05671,354893.0
MAVUSDT,5,2025-08-20 16:25:00,0.05671,0.05693,0.05663,0.05693,337405.0
MAVUSDT,5,2025-08-20 16:30:00,0.05693,0.05693,0.05677,0.05682,277169.0
MAVUSDT,5,2025-08-20 16:35:00,0.05682,0.05682,0.05646,0.05664,433241.0
MAVUSDT,5,2025-08-20 16:40:00,0.05664,0.0567,0.05654,0.05664,91096.0
MAVUSDT,5,2025-08-20 16:45:00,0.05664,0.05673,0.05656,0.05662,92417.0
MAVUSDT,5,2025-08-20 16:50:00,0.05662,0.05671,0.05659,0.05665,65708.0
MAVUSDT,5,2025-08-20 16:55:00,0.05665,0.05665,0.05648,0.05663,83124.0
MAVUSDT,5,2025-08-20 17:00:00,0.05663,0.05688,0.05661,0.05686,138046.0
MAVUSDT,5,2025-08-20 17:05:00,0.05686,0.05707,0.05676,0.057,135447.0
MAVUSDT,5,2025-08-20 17:10:00,0.057,0.057,0.05661,0.05664,478229.0
