symbol,interval,timestamp_utc,open,high,low,close,volume
MELANIAUSDT,1,2025-08-20 16:26:00,0.2096,0.2098,0.2096,0.2098,1579.3
MELANIAUSDT,1,2025-08-20 16:27:00,0.2098,0.2099,0.2097,0.2097,966.6
MELANIAUSDT,1,2025-08-20 16:28:00,0.2097,0.2099,0.2097,0.2099,3843.2
MELANIAUSDT,1,2025-08-20 16:29:00,0.2099,0.2099,0.2098,0.2099,3561.7
MELANIAUSDT,1,2025-08-20 16:30:00,0.2099,0.21,0.2097,0.2097,39289.6
MELANIAUSDT,1,2025-08-20 16:31:00,0.2097,0.2097,0.2095,0.2095,10253.2
MELANIAUSDT,1,2025-08-20 16:32:00,0.2095,0.2096,0.2095,0.2095,208.6
MELANIAUSDT,1,2025-08-20 16:33:00,0.2095,0.2095,0.2095,0.2095,2480.0
MELANIAUSDT,1,2025-08-20 16:34:00,0.2095,0.2095,0.2095,0.2095,10255.3
MELANIAUSDT,1,2025-08-20 16:35:00,0.2095,0.2095,0.2092,0.2094,16619.1
MELANIAUSDT,1,2025-08-20 16:36:00,0.2094,0.2094,0.209,0.2091,15005.7
MELANIAUSDT,1,2025-08-20 16:37:00,0.2091,0.2093,0.2091,0.2092,4698.4
MELANIAUSDT,1,2025-08-20 16:38:00,0.2092,0.2092,0.2091,0.2091,4241.0
MELANIAUSDT,1,2025-08-20 16:39:00,0.2091,0.2092,0.2091,0.2092,33.0
MELANIAUSDT,1,2025-08-20 16:40:00,0.2092,0.2092,0.2091,0.2091,99.3
MELANIAUSDT,1,2025-08-20 16:41:00,0.2091,0.2091,0.209,0.209,18917.8
MELANIAUSDT,1,2025-08-20 16:42:00,0.209,0.209,0.2089,0.209,929.1
MELANIAUSDT,1,2025-08-20 16:43:00,0.209,0.2092,0.209,0.2091,2486.6
MELANIAUSDT,1,2025-08-20 16:44:00,0.2091,0.2092,0.2091,0.2092,106.1
MELANIAUSDT,1,2025-08-20 16:45:00,0.2092,0.2093,0.2092,0.2093,3966.5
MELANIAUSDT,1,2025-08-20 16:46:00,0.2093,0.2094,0.2092,0.2094,2494.2
MELANIAUSDT,1,2025-08-20 16:47:00,0.2094,0.2096,0.2094,0.2096,43469.2
MELANIAUSDT,1,2025-08-20 16:48:00,0.2096,0.2096,0.2094,0.2094,522.3
MELANIAUSDT,1,2025-08-20 16:49:00,0.2094,0.2094,0.2093,0.2093,80.4
MELANIAUSDT,1,2025-08-20 16:50:00,0.2093,0.2095,0.2093,0.2095,5786.5
MELANIAUSDT,1,2025-08-20 16:51:00,0.2095,0.2095,0.2092,0.2092,17232.0
MELANIAUSDT,1,2025-08-20 16:52:00,0.2092,0.2092,0.2089,0.209,7727.6
MELANIAUSDT,1,2025-08-20 16:53:00,0.209,0.2091,0.209,0.2091,1083.9
MELANIAUSDT,1,2025-08-20 16:54:00,0.2091,0.2091,0.2091,0.2091,62.2
MELANIAUSDT,1,2025-08-20 16:55:00,0.2091,0.2091,0.209,0.209,344.6
MELANIAUSDT,1,2025-08-20 16:56:00,0.209,0.209,0.209,0.209,1970.6
MELANIAUSDT,1,2025-08-20 16:57:00,0.209,0.209,0.2085,0.2086,5670.0
MELANIAUSDT,1,2025-08-20 16:58:00,0.2086,0.2086,0.2085,0.2086,132.4
MELANIAUSDT,1,2025-08-20 16:59:00,0.2086,0.2086,0.2086,0.2086,394.0
MELANIAUSDT,1,2025-08-20 17:00:00,0.2086,0.209,0.2086,0.2089,1836.6
MELANIAUSDT,1,2025-08-20 17:01:00,0.2089,0.2095,0.2089,0.2095,2800.3
MELANIAUSDT,1,2025-08-20 17:02:00,0.2095,0.2099,0.2095,0.2099,8699.3
MELANIAUSDT,1,2025-08-20 17:03:00,0.2099,0.21,0.2097,0.2097,6648.8
MELANIAUSDT,1,2025-08-20 17:04:00,0.2097,0.21,0.2096,0.2098,7752.3
MELANIAUSDT,1,2025-08-20 17:05:00,0.2098,0.2101,0.2098,0.2099,5677.2
MELANIAUSDT,1,2025-08-20 17:06:00,0.2099,0.2101,0.2099,0.2101,7274.0
MELANIAUSDT,1,2025-08-20 17:07:00,0.2101,0.2102,0.21,0.2102,642.9
MELANIAUSDT,1,2025-08-20 17:08:00,0.2102,0.2107,0.2102,0.2107,21361.9
MELANIAUSDT,1,2025-08-20 17:09:00,0.2107,0.2108,0.2105,0.2107,10313.3
MELANIAUSDT,1,2025-08-20 17:10:00,0.2107,0.2108,0.2104,0.2106,5393.6
MELANIAUSDT,1,2025-08-20 17:11:00,0.2106,0.2107,0.2106,0.2106,988.2
MELANIAUSDT,1,2025-08-20 17:12:00,0.2106,0.2107,0.2105,0.2106,3605.7
MELANIAUSDT,1,2025-08-20 17:13:00,0.2106,0.2106,0.2103,0.2103,491.0
MELANIAUSDT,1,2025-08-20 17:14:00,0.2103,0.2103,0.2098,0.2098,102.2
MELANIAUSDT,1,2025-08-20 17:15:00,0.2098,0.2099,0.2098,0.2099,645.0
