symbol,interval,timestamp_utc,open,high,low,close,volume
SONICUSDT,15,2025-08-20 06:00:00,0.1956,0.1957,0.1947,0.1947,81034.0
SONICUSDT,15,2025-08-20 06:15:00,0.1947,0.1951,0.1944,0.1951,69105.0
SONICUSDT,15,2025-08-20 06:30:00,0.1951,0.1959,0.1951,0.1957,30006.0
SONICUSDT,15,2025-08-20 06:45:00,0.1957,0.1957,0.1952,0.1954,28563.0
SONICUSDT,15,2025-08-20 07:00:00,0.1954,0.1961,0.1954,0.1958,68289.0
SONICUSDT,15,2025-08-20 07:15:00,0.1958,0.1961,0.1957,0.1958,27629.0
SONICUSDT,15,2025-08-20 07:30:00,0.1958,0.1958,0.1953,0.1956,117832.0
SONICUSDT,15,2025-08-20 07:45:00,0.1956,0.1956,0.1951,0.1954,47130.0
SONICUSDT,15,2025-08-20 08:00:00,0.1954,0.196,0.1951,0.196,102533.0
SONICUSDT,15,2025-08-20 08:15:00,0.196,0.1969,0.196,0.1968,68136.0
SONICUSDT,15,2025-08-20 08:30:00,0.1968,0.1971,0.1964,0.1967,52842.0
SONICUSDT,15,2025-08-20 08:45:00,0.1967,0.197,0.1966,0.197,19768.0
SONICUSDT,15,2025-08-20 09:00:00,0.197,0.197,0.1967,0.1968,38145.0
SONICUSDT,15,2025-08-20 09:15:00,0.1968,0.1969,0.1964,0.1964,7265.0
SONICUSDT,15,2025-08-20 09:30:00,0.1964,0.1966,0.1962,0.1965,40973.0
SONICUSDT,15,2025-08-20 09:45:00,0.1965,0.1967,0.196,0.1962,25900.0
SONICUSDT,15,2025-08-20 10:00:00,0.1962,0.1964,0.1959,0.196,11365.0
SONICUSDT,15,2025-08-20 10:15:00,0.196,0.1965,0.196,0.1962,7948.0
SONICUSDT,15,2025-08-20 10:30:00,0.1962,0.1966,0.1961,0.1966,9365.0
SONICUSDT,15,2025-08-20 10:45:00,0.1966,0.1967,0.1963,0.1963,6187.0
SONICUSDT,15,2025-08-20 11:00:00,0.1963,0.1965,0.1959,0.1959,15041.0
SONICUSDT,15,2025-08-20 11:15:00,0.1959,0.1959,0.1954,0.1954,22495.0
SONICUSDT,15,2025-08-20 11:30:00,0.1954,0.1954,0.1939,0.194,175915.0
SONICUSDT,15,2025-08-20 11:45:00,0.194,0.1954,0.1936,0.1954,137077.0
SONICUSDT,15,2025-08-20 12:00:00,0.1954,0.197,0.1954,0.1961,110474.0
SONICUSDT,15,2025-08-20 12:15:00,0.1961,0.1964,0.1956,0.1958,73387.0
SONICUSDT,15,2025-08-20 12:30:00,0.1958,0.1966,0.1958,0.1966,94124.0
SONICUSDT,15,2025-08-20 12:45:00,0.1966,0.1966,0.1956,0.196,241289.0
SONICUSDT,15,2025-08-20 13:00:00,0.196,0.196,0.1947,0.1947,86565.0
SONICUSDT,15,2025-08-20 13:15:00,0.1947,0.1954,0.1945,0.1954,82422.0
SONICUSDT,15,2025-08-20 13:30:00,0.1954,0.1965,0.1944,0.1948,493980.0
SONICUSDT,15,2025-08-20 13:45:00,0.1948,0.1948,0.1925,0.1932,405955.0
SONICUSDT,15,2025-08-20 14:00:00,0.1932,0.194,0.1919,0.1927,197747.0
SONICUSDT,15,2025-08-20 14:15:00,0.1927,0.1947,0.1916,0.1946,269057.0
SONICUSDT,15,2025-08-20 14:30:00,0.1946,0.1966,0.1946,0.1962,223986.0
SONICUSDT,15,2025-08-20 14:45:00,0.1962,0.1974,0.1959,0.1968,195999.0
SONICUSDT,15,2025-08-20 15:00:00,0.1968,0.199,0.1964,0.1984,126235.0
SONICUSDT,15,2025-08-20 15:15:00,0.1984,0.1993,0.1984,0.1989,236675.0
SONICUSDT,15,2025-08-20 15:30:00,0.1989,0.1995,0.1986,0.199,163955.0
SONICUSDT,15,2025-08-20 15:45:00,0.199,0.1991,0.198,0.1983,124826.0
SONICUSDT,15,2025-08-20 16:00:00,0.1983,0.1993,0.1983,0.1989,82551.0
SONICUSDT,15,2025-08-20 16:15:00,0.1989,0.2008,0.1989,0.2007,445834.0
SONICUSDT,15,2025-08-20 16:30:00,0.2007,0.2007,0.1994,0.1997,53409.0
SONICUSDT,15,2025-08-20 16:45:00,0.1997,0.2,0.199,0.1991,38688.0
SONICUSDT,15,2025-08-20 17:00:00,0.1991,0.1998,0.1991,0.1991,62251.0
