symbol,interval,timestamp_utc,open,high,low,close,volume
ZRCUSDT,1,2025-08-20 16:26:00,0.02911,0.02914,0.02908,0.02914,197575.0
ZRCUSDT,1,2025-08-20 16:27:00,0.02914,0.02917,0.02914,0.02917,80508.0
ZRCUSDT,1,2025-08-20 16:28:00,0.02917,0.02921,0.02917,0.02921,9291.0
ZRCUSDT,1,2025-08-20 16:29:00,0.02921,0.02923,0.02921,0.02922,32468.0
ZRCUSDT,1,2025-08-20 16:30:00,0.02922,0.02923,0.02917,0.02917,7039.0
ZRCUSDT,1,2025-08-20 16:31:00,0.02917,0.02917,0.0291,0.02913,156081.0
ZRCUSDT,1,2025-08-20 16:32:00,0.02913,0.02913,0.02906,0.02906,3499.0
ZRCUSDT,1,2025-08-20 16:33:00,0.02906,0.02906,0.02903,0.02906,11150.0
ZRCUSDT,1,2025-08-20 16:34:00,0.02906,0.02906,0.02905,0.02906,5158.0
ZRCUSDT,1,2025-08-20 16:35:00,0.02906,0.02906,0.029,0.029,49261.0
ZRCUSDT,1,2025-08-20 16:36:00,0.029,0.02901,0.02894,0.02894,72235.0
ZRCUSDT,1,2025-08-20 16:37:00,0.02894,0.02898,0.02894,0.02898,3548.0
ZRCUSDT,1,2025-08-20 16:38:00,0.02898,0.02898,0.02897,0.02897,11947.0
ZRCUSDT,1,2025-08-20 16:39:00,0.02897,0.02903,0.02897,0.02903,9104.0
ZRCUSDT,1,2025-08-20 16:40:00,0.02903,0.02903,0.02902,0.02902,3879.0
ZRCUSDT,1,2025-08-20 16:41:00,0.02902,0.02902,0.02899,0.02899,96447.0
ZRCUSDT,1,2025-08-20 16:42:00,0.02899,0.029,0.02899,0.029,6602.0
ZRCUSDT,1,2025-08-20 16:43:00,0.029,0.02902,0.02899,0.02899,4398.0
ZRCUSDT,1,2025-08-20 16:44:00,0.02899,0.029,0.02899,0.029,2482.0
ZRCUSDT,1,2025-08-20 16:45:00,0.029,0.02901,0.02897,0.02901,44512.0
ZRCUSDT,1,2025-08-20 16:46:00,0.02901,0.02901,0.029,0.02901,12336.0
ZRCUSDT,1,2025-08-20 16:47:00,0.02901,0.02904,0.02901,0.02904,1687.0
ZRCUSDT,1,2025-08-20 16:48:00,0.02904,0.02904,0.02899,0.02899,15458.0
ZRCUSDT,1,2025-08-20 16:49:00,0.02899,0.02899,0.02898,0.02898,1497.0
ZRCUSDT,1,2025-08-20 16:50:00,0.02898,0.029,0.02897,0.029,5282.0
ZRCUSDT,1,2025-08-20 16:51:00,0.029,0.029,0.02898,0.02898,1130.0
ZRCUSDT,1,2025-08-20 16:52:00,0.02898,0.029,0.02895,0.02895,25876.0
ZRCUSDT,1,2025-08-20 16:53:00,0.02895,0.02897,0.02895,0.02896,18933.0
ZRCUSDT,1,2025-08-20 16:54:00,0.02896,0.02897,0.02896,0.02896,15574.0
ZRCUSDT,1,2025-08-20 16:55:00,0.02896,0.02897,0.02893,0.02893,4538.0
ZRCUSDT,1,2025-08-20 16:56:00,0.02893,0.02893,0.02891,0.02891,5135.0
ZRCUSDT,1,2025-08-20 16:57:00,0.02891,0.02891,0.02883,0.02885,18395.0
ZRCUSDT,1,2025-08-20 16:58:00,0.02885,0.02885,0.02885,0.02885,9072.0
ZRCUSDT,1,2025-08-20 16:59:00,0.02885,0.02886,0.02885,0.02886,1106.0
ZRCUSDT,1,2025-08-20 17:00:00,0.02886,0.02888,0.02886,0.02887,7334.0
ZRCUSDT,1,2025-08-20 17:01:00,0.02887,0.02895,0.02887,0.02894,8443.0
ZRCUSDT,1,2025-08-20 17:02:00,0.02894,0.029,0.02892,0.029,35600.0
ZRCUSDT,1,2025-08-20 17:03:00,0.029,0.02903,0.02899,0.02899,46747.0
ZRCUSDT,1,2025-08-20 17:04:00,0.02899,0.02904,0.02899,0.02903,29378.0
ZRCUSDT,1,2025-08-20 17:05:00,0.02903,0.02903,0.02902,0.02902,17961.0
ZRCUSDT,1,2025-08-20 17:06:00,0.02902,0.02903,0.02901,0.02903,12751.0
ZRCUSDT,1,2025-08-20 17:07:00,0.02903,0.02904,0.02901,0.02904,6747.0
ZRCUSDT,1,2025-08-20 17:08:00,0.02904,0.02904,0.02902,0.02904,22640.0
ZRCUSDT,1,2025-08-20 17:09:00,0.02904,0.02904,0.02903,0.02903,27450.0
ZRCUSDT,1,2025-08-20 17:10:00,0.02903,0.02903,0.02901,0.02902,34023.0
ZRCUSDT,1,2025-08-20 17:11:00,0.02902,0.02904,0.02902,0.02904,8924.0
ZRCUSDT,1,2025-08-20 17:12:00,0.02904,0.02904,0.02901,0.02901,15221.0
ZRCUSDT,1,2025-08-20 17:13:00,0.02901,0.02901,0.02897,0.02897,26196.0
ZRCUSDT,1,2025-08-20 17:14:00,0.02897,0.02897,0.02892,0.02892,8687.0
ZRCUSDT,1,2025-08-20 17:15:00,0.02892,0.02894,0.02892,0.02894,9068.0
